student_id,country,grade_math,grade_science,grade_english,Final_score
961,Brazil,15,43,96,51
962,Peru,75,52,93,73
963,Indonesia,31,89,94,71
964,Vietnam,78,72,89,79
965,China,61,64,66,63
966,China,1,17,6,8
967,Indonesia,64,42,3,36
968,Greece,64,44,4,37
969,Indonesia,94,64,51,69
970,United States,20,22,66,36
971,Russia,45,89,6,46
972,Botswana,87,70,74,77
973,China,1,62,46,36
974,Russia,89,81,7,59
975,Thailand,90,30,0,40
976,Armenia,54,12,58,41
977,China,63,85,25,57
978,Russia,33,62,4,33
979,Indonesia,58,96,65,73
980,Pakistan,55,33,83,57
981,Portugal,7,77,37,40
982,Russia,4,86,2,30
983,Norway,21,18,7,15
984,Greece,27,51,64,47
985,Serbia,45,59,63,55
986,Ecuador,48,37,90,58
987,Indonesia,4,75,98,59
988,Russia,32,15,32,26
989,China,97,1,12,36
990,Philippines,68,15,86,56
991,Philippines,87,62,15,54
992,Indonesia,79,50,95,74
993,Afghanistan,31,11,1,14
994,Czech Republic,26,8,4,12
995,Russia,20,68,40,42
996,Cameroon,31,66,94,63
997,United States,66,30,66,54
998,Philippines,84,50,61,65
999,Ethiopia,44,11,80,45
1000,Tunisia,64,48,83,65
